altitude,temperature,density,pressure
100,287.5,1.21328,100129.208
150,287.175,1.20746,99536.25021
200,286.85,1.20165,98945.20175
250,286.525,1.19587,98357.70478
300,286.2,1.19011,97772.92936
350,285.875,1.18437,97190.86988
400,285.55,1.17865,96611.52077
450,285.225,1.17295,96034.8764
500,284.9,1.16727,95460.9312
550,284.575,1.16162,94890.49643
600,284.25,1.15598,94321.93182
650,283.925,1.15037,93756.86458
700,283.601,1.14478,93194.80086
750,283.276,1.13921,92635.07624
800,282.951,1.13365,92077.2031
850,282.626,1.12812,91522.80124
900,282.301,1.12262,90971.86224
950,281.976,1.11713,90422.75888
1000,281.651,1.11166,89876.29684
1050,281.326,1.10621,89332.47053
1100,281.001,1.10079,88792.08097
1150,280.676,1.09538,88253.50838
1200,280.351,1.08999,87717.55473
1250,280.027,1.08463,87185.32957
1300,279.702,1.07928,86654.59452
1350,279.377,1.07396,86127.26358
1400,279.052,1.06865,85601.72629
1450,278.727,1.06337,85079.58004
1500,278.402,1.0581,84559.21812
1550,278.077,1.05286,84042.23419
1600,277.753,1.04764,83528.12327
1650,277.428,1.04243,83015.48047
1700,277.103,1.03725,82506.19606
1750,276.778,1.03208,81998.67266
1800,276.453,1.02694,81494.4946
1850,276.128,1.02181,80992.06822
1900,275.804,1.01671,80493.26597
1950,275.479,1.01162,79995.91275
2000,275.154,1.00655,79501.08892
2050,274.829,1.00151,79009.57779
2100,274.505,0.996479,78520.00226
2150,274.18,0.991471,78032.88815
2200,273.855,0.986483,77548.28067
2250,273.53,0.981513,77066.01719
2300,273.205,0.976563,76586.24951
2350,272.881,0.971632,76109.17263
2400,272.556,0.966721,75634.30023
2450,272.231,0.961828,75161.75075
2500,271.906,0.956954,74691.59721
2550,271.582,0.9521,74224.18554
2600,271.257,0.947264,73758.80643
2650,270.932,0.942447,73295.8073
2700,270.607,0.937649,72835.18284
2750,270.283,0.93287,72377.19552
2800,269.958,0.92811,71921.30308
2850,269.633,0.923368,71467.69196
2900,269.309,0.918645,71016.69813
2950,268.984,0.91394,70567.71032
3000,268.659,0.909254,70121.06565
3050,268.335,0.904587,69677.01847
3100,268.01,0.899938,69234.96587
3150,267.685,0.895307,68795.16382
3200,267.36,0.890694,68357.60728
3250,267.036,0.8861,67922.62222
