geometric_altitude,geopotential_altitude,temperature_kelvin,temperature_centigrade,pressure,density,gravity
32400.0,32236.0,229.31,-4384.0,8.38021,0.0127312,9.7074
32500.0,32335.0,229.587,-4356.3,8.2576,0.0125298,9.7071
32600.0,32434.0,229.864,-4328.6,8.13694,0.0123318,9.7068
32700.0,32533.0,230.141,-4300.9,8.01819,0.0121372,9.7065
32800.0,32632.0,230.419,-4273.1,7.90131,0.0119459,9.7062
32900.0,32731.0,230.696,-4245.4,7.78628,0.0117579,9.7059
33000.0,32830.0,230.973,-4217.7,7.67306,0.011573,9.7056
33100.0,32929.0,231.25,-4190.0,7.56162,0.0113912,9.7053
33200.0,33028.0,231.527,-4162.3,7.45194,0.0112126,9.705
33300.0,33126.0,231.804,-4134.6,7.34398,0.0110369,9.7047
33400.0,33225.0,232.081,-4106.9,7.23771,0.0108642,9.7044
33500.0,33324.0,232.358,-4079.2,7.1331,0.0106945,9.7041
33600.0,33423.0,232.635,-4051.5,7.03014,0.0105275,9.7038
33700.0,33522.0,232.912,-4023.8,6.92878,0.0103634,9.7035
33800.0,33621.0,233.189,-3996.1,6.82901,0.010202,9.7032
33900.0,33720.0,233.466,-3968.4,6.73079,0.0100434,9.7029
34000.0,33819.0,233.744,-3940.6,6.6341,0.00988736,9.7026
34100.0,33918.0,234.021,-3912.9,6.53891,0.00973396,9.7023
34200.0,34017.0,234.298,-3885.2,6.44521,0.00958313,9.702
34300.0,34116.0,234.575,-3857.5,6.35296,0.00943481,9.7017
